zaman;vakit;sorgu;dirsek;ayak;
kıyas;mukayese;bilgisayar;sınıf;motor;
problem;sorun;araba;portakal;muz;
garip;tuhaf;ağaç;lamba;deniz;
plan;taslak;matematik;saat;duvar;
kötü;berbat;hesaplı;ölçülü;yaş;
aktör;vatan;kemer;oda;oyuncu;
halk;millet;kablo;aklanma;beraat;
hatalı;yanlış;afiyet;keyif;sağlık;
doğru;varlık;gerçek;afili;gösterişli;
zengin;varlıklı;afet;facia;kıyamet;
önemli;mühim;adale;kas;başvuru;
antika;eski;açık;aleni;baz;
zeki;akıllı;kitap;ivedi;telesik;
zor;meşakkatli;siperli;dilenci;fakir;
hızlı;çabuk;acele;saçmalamak;acayip;
tasarım;dizayn;kinayelilik;keskinlik;felaket;
tembel;miskin;nadan;köle;kul;
korku;endişe;kaygı;rahat;yakşılaşma;
tehlikeli;riskli;anne;üstlük;şehir;
güzel;iyi;muhteşem;üstlük;şehir;
kızgın;öfkeli;ivedi;masa;kalem;
iri;büyük;kocaman;devasa;hürmetli;
bağımsız;hür;özgür;sayvan;siper;
barış;sulh;zeytin;elektrik;perde;